datetime,eet,par,SM,Temp,CO2,gpp
2010年12月,0.601290323,10.8368129,0.29,-3.872580645,402.783269,13.274928
2011年1月,0.629354839,12.92725161,0.280645161,-6.520967742,405.3349184,6.400512
2011年2月,1.366071429,18.34148571,0.298214286,-4.216785714,407.5476678,12.368592
2011年3月,2.194516129,26.90105806,0.408064516,0.271612903,403.6469872,26.357616
2011年4月,4.054666667,29.21604,0.338333333,7.565666667,402.0765885,43.609104
2011年5月,5.088709677,35.22611613,0.304516129,14.19290323,404.4319063,125.158176
2011年6月,5.753333333,40.66512,0.266333333,17.26333333,388.0945094,435.79296
2011年7月,6.834193548,47.35033548,0.211935484,21.67193548,385.6196039,458.977968
2011年8月,5.577741935,36.92171613,0.229354839,19.61129032,383.2681664,345.480336
2011年9月,4.745666667,27.56028,0.271666667,17.02233333,391.1105765,267.430896
2011年10月,2.456129032,18.16699355,0.294193548,9.488064516,399.1467952,124.255728
2011年11月,1.297,15.03276,0.303333333,6.776666667,402.9263603,17.499024
2011年12月,0.646451613,11.58828387,0.310967742,1.010645161,405.2279659,7.772112
2012年1月,0.770967742,11.96836374,0.291612903,-1.98516129,404.5405771,5.896368
2012年2月,1.472413793,17.72255881,0.289655172,0.03,403.2159277,6.467472
2012年3月,2.729032258,25.62468118,0.27483871,5.793225806,404.8937145,14.553216
2012年4月,4.019666667,35.88292832,0.25,8.282,400.5136493,64.422
2012年5月,5.453225806,32.25616307,0.272903226,15.02225806,398.5156398,194.79528
2012年6月,6.248333333,39.85133,0.257,17.005,387.8075607,367.628976
2012年7月,6.732580645,42.54185922,0.188064516,21.3483871,383.6117813,405.940464
2012年8月,5.401290323,37.90463445,0.208387097,20.55419355,385.4565381,294.371712
2012年9月,3.503666667,28.61503495,0.223,15.15033333,389.4277864,221.763312
2012年10月,1.901612903,14.43912311,0.27,10.68935484,397.9991077,78.065856
2012年11月,0.985,13.76724164,0.268333333,2.574333333,402.0499696,25.191648
2012年12月,0.452903226,8.243441531,0.286774194,0.079677419,404.7773077,5.3136
2013年1月,0.651935484,12.52978839,0.29483871,-3.627419355,406.1958602,4.35456
2013年2月,1.043928571,15.38742857,0.298571429,-3.616428571,404.746577,4.068144
2013年3月,1.877419355,24.37422968,0.31483871,0.132258065,401.5653979,3.811536
2013年4月,3.542,35.730708,0.300333333,6.746666667,403.0084012,36.839664
2013年5月,5.001290323,40.02113032,0.280967742,13.73322581,399.6551658,123.678144
2013年6月,5.708,41.156292,0.316,17.87233333,392.2642579,329.515344
2013年7月,6.209354839,41.05453935,0.251612903,22.30935484,387.5520572,402.655536
2013年8月,4.998064516,38.74358323,0.247419355,18.83645161,381.0354422,286.254
2013年9月,3.475,31.90062,0.265,14.89133333,389.5978976,198.071568
2013年10月,2.059032258,19.13206065,0.241612903,10.22774194,400.2786795,76.19832
2013年11月,1.04,16.551204,0.26,2.27,406.1289879,23.22864
2013年12月,0.452903226,9.080674839,0.305483871,-2.481935484,410.7000897,6.257088
2014年1月,0.593225806,13.29971226,0.321290323,-6.283225806,409.7890107,3.442176
2014年2月,0.960714286,19.30275,0.311428571,-5.338928571,410.7094779,2.239056
2014年3月,1.813870968,25.83523742,0.322903226,-2.637096774,410.107878,3.942864
2014年4月,3.507666667,34.744368,0.355,6.752333333,408.207082,30.549744
2014年5月,4.992258065,36.83882323,0.315483871,13.3783871,405.0470224,97.247088
2014年6月,6.136333333,47.262744,0.262333333,18.71266667,398.2348364,355.28112
2014年7月,6.199354839,46.40115484,0.258387097,20.56,389.2582213,382.579632
2014年8月,5.248709677,40.35066968,0.233870968,18.76032258,394.5069668,334.0548
2014年9月,3.649666667,33.01428,0.205,15.59833333,397.6523211,236.045664
2014年10月,1.986774194,17.89075742,0.261290323,10.60741935,407.914358,87.41736
2014年11月,1.055333333,13.000368,0.290333333,2.467333333,411.6142205,17.53488
2014年12月,0.433225806,8.855814194,0.320645161,-0.529677419,413.4564578,6.921504
